DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10067.75	10.81	97.5	0.408	2.343	0.798	-7.835	0.719
10068	10.826	96.667	0.402	2.348	0.8	-8.643	0.716
10068.25	10.848	95.313	0.392	2.354	0.801	-9.634	0.727
10068.5	10.867	93.756	0.38	2.36	0.8	-10.588	0.752
10068.75	10.877	92.278	0.368	2.365	0.797	-11.256	0.791
10069	10.879	91.144	0.357	2.37	0.793	-11.458	0.836
10069.25	10.872	90.635	0.35	2.373	0.789	-11.13	0.873
10069.5	10.861	91.026	0.349	2.375	0.786	-10.338	0.889
10069.75	10.85	92.478	0.353	2.375	0.784	-9.227	0.879
10070	10.843	94.781	0.362	2.375	0.784	-7.969	0.85
10070.25	10.841	97.307	0.373	2.372	0.785	-6.705	0.817
10070.5	10.844	99.428	0.383	2.369	0.786	-5.519	0.79
10070.75	10.849	100.703	0.39	2.366	0.787	-4.452	0.773
10071	10.854	101.005	0.394	2.362	0.785	-3.516	0.765
10071.25	10.857	100.517	0.396	2.359	0.783	-2.708	0.764
10071.5	10.859	99.519	0.396	2.356	0.778	-2.038	0.766
10071.75	10.86	98.293	0.396	2.354	0.774	-1.533	0.77
10072	10.859	97.169	0.395	2.352	0.769	-1.226	0.776
10072.25	10.857	96.533	0.395	2.351	0.765	-1.124	0.782
10072.5	10.859	96.706	0.394	2.351	0.761	-1.189	0.79
10072.75	10.872	97.689	0.394	2.351	0.757	-1.34	0.796
10073	10.903	99.059	0.394	2.351	0.755	-1.479	0.799
10073.25	10.952	100.083	0.394	2.351	0.753	-1.541	0.798
10073.5	11.016	100.107	0.395	2.351	0.752	-1.509	0.794
10073.75	11.082	98.979	0.395	2.351	0.752	-1.402	0.788
10074	11.138	97.115	0.394	2.351	0.752	-1.26	0.783
10074.25	11.166	95.318	0.393	2.35	0.752	-1.115	0.779
10074.5	11.155	94.366	0.392	2.35	0.752	-0.981	0.779
10074.75	11.105	94.502	0.393	2.349	0.751	-0.856	0.78
10075	11.025	95.422	0.396	2.349	0.75	-0.741	0.781
10075.25	10.933	96.512	0.399	2.349	0.749	-0.644	0.782
10075.5	10.843	97.308	0.403	2.349	0.749	-0.585	0.782
10075.75	10.772	97.718	0.405	2.348	0.749	-0.585	0.78
10076	10.723	97.935	0.406	2.348	0.749	-0.661	0.778
10076.25	10.695	98.135	0.405	2.348	0.749	-0.81	0.777
10076.5	10.679	98.466	0.403	2.348	0.749	-1.006	0.779
10076.75	10.669	98.867	0.401	2.348	0.749	-1.203	0.784
10077	10.662	99.162	0.398	2.348	0.75	-1.346	0.79
10077.25	10.658	99.195	0.396	2.347	0.751	-1.403	0.798
10077.5	10.658	99.013	0.395	2.347	0.754	-1.376	0.803
10077.75	10.662	98.808	0.395	2.347	0.756	-1.303	0.806
10078	10.67	98.813	0.394	2.346	0.759	-1.241	0.805
10078.25	10.681	99.181	0.394	2.346	0.761	-1.232	0.803
10078.5	10.694	99.975	0.394	2.346	0.761	-1.276	0.8
10078.75	10.708	100.982	0.395	2.347	0.761	-1.334	0.799
10079	10.719	101.859	0.396	2.347	0.761	-1.351	0.8
10079.25	10.728	102.225	0.399	2.347	0.76	-1.281	0.803
10079.5	10.734	101.886	0.403	2.348	0.761	-1.117	0.804
10079.75	10.737	101.057	0.407	2.348	0.761	-0.889	0.803
10080	10.738	100.165	0.411	2.348	0.762	-0.646	0.801
10080.25	10.738	99.617	0.415	2.348	0.763	-0.434	0.797
10080.5	10.738	99.646	0.418	2.348	0.763	-0.284	0.792
10080.75	10.736	100.186	0.421	2.348	0.764	-0.198	0.79
10081	10.734	100.871	0.421	2.348	0.764	-0.163	0.788
10081.25	10.733	101.243	0.419	2.347	0.764	-0.173	0.788
10081.5	10.735	101.08	0.417	2.347	0.766	-0.236	0.789
10081.75	10.739	100.404	0.414	2.346	0.767	-0.37	0.79
10082	10.745	99.376	0.413	2.346	0.769	-0.583	0.792
10082.25	10.753	98.201	0.413	2.345	0.77	-0.862	0.794
10082.5	10.759	97.017	0.414	2.345	0.771	-1.179	0.798
10082.75	10.764	95.993	0.414	2.345	0.771	-1.495	0.803
10083	10.766	95.346	0.414	2.345	0.771	-1.773	0.809
